FID,res_bldg_cnt,res_gwh,lmi_bldg_cnt,lmi_gwh,lmi_pct_gwh,lmi_pct_bldg,name,state_abbr,gid
pv_rooftop_county_lmi_pct_gwh.1585,1919.0001,23.5901,807.106,10.4691,44.38,42.06,Shelby,MO,1585
pv_rooftop_county_lmi_pct_gwh.2220,1957.0001,22.053,874.8888,10.2356,46.41,44.71,Grant,OR,2220
pv_rooftop_county_lmi_pct_gwh.1850,15578.9994,195.4594,6092.8326,88.3115,45.18,39.11,Herkimer,NY,1850
pv_rooftop_county_lmi_pct_gwh.1996,1029.9998,11.4585,379.8172,4.3423,37.9,36.88,Bowman,ND,1996
pv_rooftop_county_lmi_pct_gwh.1679,703,8.5765,265.5196,3.3139,38.64,37.77,Deuel,NE,1679
pv_rooftop_county_lmi_pct_gwh.1422,2737.0001,31.9154,1090.7791,13.0965,41.04,39.85,Greene,MS,1422
pv_rooftop_county_lmi_pct_gwh.2009,870.9999,9.322,450.2238,4.7948,51.44,51.69,Grant,ND,2009
pv_rooftop_county_lmi_pct_gwh.2020,7542.9998,93.7085,2956.357,41.5354,44.32,39.19,Morton,ND,2020
pv_rooftop_county_lmi_pct_gwh.2124,9349.0004,106.1766,3710.7477,44.5535,41.96,39.69,Van Wert,OH,2124
pv_rooftop_county_lmi_pct_gwh.95,144,1.3821,48.8847,0.5096,36.87,33.95,Yakutat,AK,95
pv_rooftop_county_lmi_pct_gwh.2218,25882.0012,298.4528,10310.662,129.2147,43.29,39.84,Douglas,OR,2218
pv_rooftop_county_lmi_pct_gwh.2973,5105.9995,58.7667,1837.9503,22.6106,38.48,36,Klickitat,WA,2973
pv_rooftop_county_lmi_pct_gwh.2305,14554.0009,155.769,5771.2737,68.0879,43.71,39.65,Venango,PA,2305
pv_rooftop_county_lmi_pct_gwh.2306,11437.9993,121.5798,4587.1152,53.3214,43.86,40.1,Warren,PA,2306
pv_rooftop_county_lmi_pct_gwh.587,1180,13.4692,464.3723,5.4617,40.55,39.35,Oneida,ID,587
pv_rooftop_county_lmi_pct_gwh.3026,6170.9999,61.3924,2536.0835,26.0347,42.41,41.1,Nicholas,WV,3026
pv_rooftop_county_lmi_pct_gwh.2422,1856.9999,24.3849,1188.4089,15.7765,64.7,64,Todd,SD,2422
pv_rooftop_county_lmi_pct_gwh.1935,29070.9989,394.9712,11074.102,160.6807,40.68,38.09,Henderson,NC,1935
pv_rooftop_county_lmi_pct_gwh.577,5604.9998,69.207,2068.8304,27.3795,39.56,36.91,Jefferson,ID,577
pv_rooftop_county_lmi_pct_gwh.2221,1745.9997,21.51,762.2183,9.6921,45.06,43.66,Harney,OR,2221
pv_rooftop_county_lmi_pct_gwh.2441,7515.9993,88.1615,3146.7915,39.5856,44.9,41.87,Claiborne,TN,2441
pv_rooftop_county_lmi_pct_gwh.2442,2014,23.4893,972.801,11.7432,49.99,48.3,Clay,TN,2442
pv_rooftop_county_lmi_pct_gwh.466,3749,43.385,1976.0401,23.4302,54.01,52.71,Jasper,GA,466
pv_rooftop_county_lmi_pct_gwh.2469,4941.0003,54.8021,2071.194,24.0712,43.92,41.92,Hickman,TN,2469
pv_rooftop_county_lmi_pct_gwh.901,792.0003,9.9936,332.6139,4.2178,42.21,42,Clark,KS,901
pv_rooftop_county_lmi_pct_gwh.418,57350.0025,867.7176,29399.8223,481.8748,55.53,51.26,Clayton,GA,418
pv_rooftop_county_lmi_pct_gwh.421,8016.9994,109.8601,3412.4395,49.7658,45.3,42.57,Coffee,GA,421
pv_rooftop_county_lmi_pct_gwh.2474,4293.0005,49.3955,2020.3803,24.6695,49.94,47.06,Johnson,TN,2474
pv_rooftop_county_lmi_pct_gwh.2496,1670.0001,19.2671,801.4475,9.4967,49.29,47.99,Perry,TN,2496
pv_rooftop_county_lmi_pct_gwh.2504,4796.0003,55.2626,2417.19,29.322,53.06,50.4,Scott,TN,2504
pv_rooftop_county_lmi_pct_gwh.136,3506.9997,39.221,1382.5857,16.2001,41.3,39.42,Fulton,AR,136
pv_rooftop_county_lmi_pct_gwh.183,48888.0023,762.1,19834.081,370.7941,48.65,40.57,Washington,AR,183
pv_rooftop_county_lmi_pct_gwh.413,1283.9998,30.0869,520.0842,12.1693,40.45,40.51,Chattahoochee,GA,413
pv_rooftop_county_lmi_pct_gwh.2522,48908.9979,626.4839,9849.6025,138.1868,22.06,20.14,Williamson,TN,2522
pv_rooftop_county_lmi_pct_gwh.2742,2083.9999,30.8893,972.0184,15.1532,49.06,46.64,Swisher,TX,2742
pv_rooftop_county_lmi_pct_gwh.484,6433.0004,73.7586,2700.5256,31.962,43.33,41.98,Madison,GA,484
pv_rooftop_county_lmi_pct_gwh.2034,247.0002,2.5955,105.9234,1.1132,42.89,42.88,Slope,ND,2034
pv_rooftop_county_lmi_pct_gwh.1948,5279,59.5786,2522.8825,29.1087,48.86,47.79,Madison,NC,1948
pv_rooftop_county_lmi_pct_gwh.2095,46986.0015,568.5394,13355.6742,183.5569,32.29,28.42,Medina,OH,2095
pv_rooftop_county_lmi_pct_gwh.2394,4200.0007,57.7522,1590.6872,25.9965,45.01,37.87,Hughes,SD,2394
pv_rooftop_county_lmi_pct_gwh.2487,7887.0007,96.6705,3069.8405,40.6226,42.02,38.92,Marshall,TN,2487
pv_rooftop_county_lmi_pct_gwh.2564,1172,16.5953,555.9574,8.0944,48.78,47.44,Coke,TX,2564
pv_rooftop_county_lmi_pct_gwh.3115,99792.9993,1502.7811,23681.7539,412.9159,27.48,23.73,Waukesha,WI,3115
pv_rooftop_county_lmi_pct_gwh.590,1598,19.5806,606.8729,7.5354,38.48,37.98,Power,ID,590
pv_rooftop_county_lmi_pct_gwh.3117,7258.001,79.765,2999.7714,34.7608,43.58,41.33,Waushara,WI,3117
pv_rooftop_county_lmi_pct_gwh.2740,463,6.1,199.5285,2.7606,45.26,43.09,Stonewall,TX,2740
pv_rooftop_county_lmi_pct_gwh.2768,4519.0004,61.5218,2692.3937,38.1374,61.99,59.58,Willacy,TX,2768
pv_rooftop_county_lmi_pct_gwh.285,283.9999,3.6408,121.2967,1.5682,43.07,42.71,Mineral,CO,285
pv_rooftop_county_lmi_pct_gwh.3034,7641.0005,84.1896,3047.763,36.7572,43.66,39.89,Randolph,WV,3034
pv_rooftop_county_lmi_pct_gwh.3038,4557.9993,47.8414,1666.1435,18.6918,39.07,36.55,Taylor,WV,3038
pv_rooftop_county_lmi_pct_gwh.2659,674.9999,10.2413,278.9062,4.6288,45.2,41.32,Kinney,TX,2659
pv_rooftop_county_lmi_pct_gwh.952,1965.0001,22.8227,783.5305,9.2734,40.63,39.87,Morris,KS,952
